is_returning,last_reported,num_scooters_unavailable,num_bikes_available,num_ebikes_available,station_id,num_scooters_available,legacy_id,num_docks_available,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,eightd_has_available_keys
1,1709605449,0.0,2,2,24509e46-a0de-47e8-ba40-9441da68952a,0.0,4440,17,1,0,0,1,False
1,1709605449,0.0,2,1,6fab98b7-b06a-49d8-a4d1-087ffce0ebcf,0.0,4157,10,1,0,7,1,False
1,1709605449,0.0,10,0,81bec993-29a5-4e70-8f60-eecdf16c7be4,0.0,4684,17,1,0,0,1,False
1,1709605450,0.0,11,10,655ad2f2-6bcc-4eee-95a9-4f528c0b81cd,0.0,4112,4,1,0,3,1,False
1,1709605450,0.0,15,5,1862008939006380034,0.0,1862008939006380034,4,1,0,2,1,False
1,1709605450,0.0,9,4,66de1ea2-0aca-11e7-82f6-3863bb44ef7c,0.0,3361,9,1,1,0,1,False
1,1709605450,0.0,11,4,8a89684b-40a5-49fe-b75d-fdf32ffa8102,0.0,4141,8,1,0,1,1,False
1,1709605448,0.0,15,10,66dd4d70-0aca-11e7-82f6-3863bb44ef7c,0.0,3166,19,1,0,6,1,False
1,1709605448,0.0,0,0,cf1a96a7-f695-4ba2-bcf2-899552e21e47,0.0,5005,17,1,0,2,1,False
1,1709605448,0.0,2,1,bcb08532-f0d5-4c0e-ad8a-4ddacc204791,0.0,3833,16,1,0,0,1,False
1,1709605449,0.0,26,0,6969d756-33a6-4a0b-83d0-3db38bc382d1,0.0,4412,2,1,0,1,1,False
1,1709605449,0.0,7,5,481624f3-9377-4dfd-a5dd-de05a7fef760,0.0,4103,10,1,0,2,1,False
1,1709605450,0.0,31,0,1814548067447122618,0.0,1814548067447122618,1,1,1,2,1,False
1,1709605451,0.0,1,0,66dd9fa6-0aca-11e7-82f6-3863bb44ef7c,0.0,3233,53,1,0,7,1,False
1,1709605445,0.0,18,0,5645b05e-85be-460d-8506-cacd20bff233,0.0,4416,7,1,1,3,1,False
1,1709605445,0.0,14,5,0b613329-b8c8-4b8c-ad40-79952aa41157,0.0,3496,9,1,0,2,1,False
1,1709605446,0.0,8,1,d979131e-0b9f-4aa2-88c5-46d4ff94abc8,0.0,4958,10,1,0,1,1,False
1,1709605447,0.0,12,6,66db3687-0aca-11e7-82f6-3863bb44ef7c,0.0,216,20,1,0,5,1,False
1,1709605447,0.0,1,0,1834145589124844432,0.0,1834145589124844432,17,1,0,1,1,False
1,1709605447,0.0,30,8,66dc7ba2-0aca-11e7-82f6-3863bb44ef7c,0.0,511,8,1,0,5,1,False
1,1709605447,0.0,15,2,1911424232096693138,0.0,1911424232096693138,3,1,0,0,1,False
1,1709605448,0.0,4,2,d470e82e-d109-4e2e-b66a-f5e944cbfe97,0.0,4940,17,1,0,0,1,False
1,1709605451,0.0,7,0,1835246937517543544,0.0,1835246937517543544,13,1,0,0,1,False
1,1709605451,0.0,10,0,bacfe3c2-7946-45ed-91f9-f5b91791de75,0.0,3503,17,1,0,3,1,False
1,1709605451,0.0,11,7,69f84045-48f9-4c6c-90d3-0503e5ed39e9,0.0,3574,9,1,0,2,1,False
1,1709605452,0.0,7,6,c2bb1874-bcb7-47c5-aa7d-05423b9087e8,0.0,4917,17,1,1,0,1,False
1,1709605446,0.0,11,2,dad39e68-53f5-47c2-87e2-b1cc0e34f90f,0.0,3926,4,1,0,5,1,False
1,1709605451,0.0,16,5,dccaeeb5-c53a-4f48-80e6-05675b71a8c8,0.0,3508,12,1,0,3,1,False
1,1709605452,0.0,26,7,66dc3782-0aca-11e7-82f6-3863bb44ef7c,0.0,471,4,1,0,1,1,False
1,1709605453,0.0,34,3,66dd2060-0aca-11e7-82f6-3863bb44ef7c,0.0,3115,10,1,0,5,1,False
1,1709605453,0.0,14,7,b896d83d-5524-4c9c-a2aa-c1b0edaadc22,0.0,4083,3,1,0,3,1,False
1,1709605457,0.0,6,3,66dcc0b2-0aca-11e7-82f6-3863bb44ef7c,0.0,3053,13,1,0,3,1,False
1,1709605458,0.0,2,1,4f814d78-5d8d-458b-877e-2ca449b865be,0.0,4014,20,1,0,0,1,False
1,1709605458,0.0,15,3,c3189056-8eda-4278-891f-e8e15c2d759a,0.0,3537,8,1,0,4,1,False
1,1709605458,0.0,7,3,1d32e684-602b-46b6-8c96-ab47b57a03f3,0.0,3549,14,1,0,3,1,False
1,1709605459,0.0,9,3,41495491-5d89-4e14-aab9-c3db04aad399,0.0,4774,7,1,0,3,1,False
1,1709605455,0.0,20,4,1794852638057746848,0.0,1794852638057746848,1,1,0,0,1,False
1,1709605455,0.0,7,7,64f0f28c-bedc-42d5-b107-ecdd48fc30cd,0.0,4642,88,1,0,8,1,False
1,1709605455,0.0,5,0,b713367c-3572-4225-b74a-9319ab537838,0.0,4631,13,1,0,1,1,False
1,1709605455,0.0,15,4,c80c55c4-d623-42d7-8acf-6bfa68a84ecb,0.0,4151,3,1,0,3,1,False
1,1709605455,0.0,17,2,99614ecb-2329-49fa-a13a-fa1ef2bb32d6,0.0,4201,1,1,0,1,1,False
1,1709605455,0.0,22,3,6e5a8cab-cf1a-4584-8133-01835b56ad71,0.0,4166,3,1,0,2,1,False
1,1709605455,0.0,15,6,1903269842202951692,0.0,1903269842202951692,24,1,0,3,1,False
1,1709605457,0.0,8,2,66dcc8b3-0aca-11e7-82f6-3863bb44ef7c,0.0,3060,9,1,0,2,1,False
1,1709605457,0.0,18,1,1871698348432996504,0.0,1871698348432996504,4,1,0,1,1,False
1,1709605457,0.0,2,0,38af3d1a-9916-46cf-b22e-86fc8648bf30,0.0,4094,16,1,0,3,1,False
1,1709605457,0.0,13,0,1817822909864556798,0.0,1817822909864556798,11,1,0,3,1,False
1,1709605457,0.0,11,2,66de0a78-0aca-11e7-82f6-3863bb44ef7c,0.0,3330,5,1,0,2,1,False
1,1709605457,0.0,12,3,1860189650739626488,0.0,1860189650739626488,3,1,0,6,1,False
1,1709605454,0.0,3,2,d73e26de-8534-4b46-a321-3cae295ef9b2,0.0,4059,21,1,0,6,1,False
1,1709605458,0.0,22,11,66ddb66e-0aca-11e7-82f6-3863bb44ef7c,0.0,3243,2,1,0,5,1,False
1,1709605458,0.0,3,2,191d5d54-de64-4312-99c7-eee141efa4ef,0.0,4572,18,1,0,1,1,False
1,1709605456,0.0,6,3,1859438049977968878,0.0,1859438049977968878,23,1,0,2,1,False
1,1709605456,0.0,4,2,0bd9bd58-42e6-4680-9d19-83943372221f,0.0,4395,16,1,0,2,1,False
1,1709605456,0.0,22,13,66db408f-0aca-11e7-82f6-3863bb44ef7c,0.0,249,12,1,0,5,1,False
1,1709605456,0.0,21,14,1861678548643203686,0.0,1861678548643203686,3,1,0,1,1,False
1,1709605456,0.0,30,18,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,0.0,307,11,1,0,4,1,False
1,1709605456,0.0,7,5,66dd5407-0aca-11e7-82f6-3863bb44ef7c,0.0,3178,67,1,0,3,1,False
1,1709605462,0.0,6,0,1835246658344669972,0.0,1835246658344669972,14,1,0,0,1,False
1,1709605463,0.0,9,4,1860189327773878824,0.0,1860189327773878824,12,1,0,4,1,False
1,1709605459,0.0,7,3,66de73fd-0aca-11e7-82f6-3863bb44ef7c,0.0,3430,18,1,0,0,1,False
1,1709605459,0.0,22,0,66de677e-0aca-11e7-82f6-3863bb44ef7c,0.0,3424,4,1,0,1,1,False
1,1709605459,0.0,36,0,dd482585-3028-453f-a98d-55019db9b26c,0.0,3478,4,1,0,2,1,False
1,1709605459,0.0,18,12,1096fc76-794e-4343-8eb0-0dd6c9a48266,0.0,4569,1,1,0,0,1,False
1,1709605464,0.0,16,1,1828966626550010820,0.0,1828966626550010820,2,1,0,2,1,False
1,1709605464,0.0,27,4,66de85d2-0aca-11e7-82f6-3863bb44ef7c,0.0,3435,13,1,0,4,1,False
1,1709605464,0.0,18,7,fbaffdbd-dab5-4127-9bd5-36bf58093ea8,0.0,4832,2,1,0,4,1,False
1,1709605463,0.0,33,1,66de6346-0aca-11e7-82f6-3863bb44ef7c,0.0,3421,2,1,0,0,1,False
1,1709605464,0.0,11,0,1854538962214948918,0.0,1854538962214948918,8,1,0,1,1,False
1,1709605464,0.0,5,5,66dc840f-0aca-11e7-82f6-3863bb44ef7c,0.0,526,53,1,0,2,1,False
1,1709605460,0.0,71,26,66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,0.0,363,0,1,0,2,1,False
1,1709605460,0.0,38,5,32cc1603-a4b5-4099-b7bf-681de451b04a,0.0,4737,5,1,0,4,1,False
1,1709605461,0.0,18,0,e92414a8-e72f-4a69-a5a1-7f50f4c881e5,0.0,5008,0,1,0,1,1,False
1,1709605461,0.0,0,0,0b009276-767c-47ee-a4d2-7633d4f95d95,0.0,3731,65,1,0,4,1,False
1,1709605461,0.0,43,15,66db76a1-0aca-11e7-82f6-3863bb44ef7c,0.0,317,46,1,0,4,1,False
1,1709605465,0.0,3,2,cb05443c-e68e-48f7-8d17-35353fa19d4d,0.0,4682,53,1,0,1,1,False
1,1709605461,0.0,17,7,83a5d761-57d0-4cd6-aa2b-7eb350120d99,0.0,4252,1,1,0,3,1,False
1,1709605461,0.0,14,1,1786698974100683436,0.0,1786698974100683436,30,1,0,9,1,False
1,1709605466,0.0,20,2,1814907590556515014,0.0,1814907590556515014,1,1,1,1,1,False
1,1709605419,0.0,14,6,633fbc4c-7617-47ba-a393-aad7a8d26a3e,0.0,3676,9,1,0,1,1,False
1,1709605419,0.0,22,2,0687075b-cf2d-4130-a859-fe841aafbd3f,0.0,3554,4,1,0,1,1,False
1,1709605420,0.0,5,0,0dd71c6d-11ee-4ad4-ba99-36b9ad36112c,0.0,4942,15,1,0,1,1,False
1,1709605420,0.0,15,0,a2ef8ed2-6031-4049-b7dc-9838ef39889b,0.0,4202,3,1,0,1,1,False
1,1709605420,0.0,4,1,56b3ca32-104a-4920-a879-a97a820858c4,0.0,3599,22,1,1,0,1,False
1,1709605418,0.0,13,0,cbf76774-1276-4cf8-9442-f00571f1451c,0.0,4225,17,1,0,3,1,False
1,1709605418,0.0,8,1,1817432434869846072,0.0,1817432434869846072,15,1,0,0,1,False
1,1709605423,,0,0,66ddea99-0aca-11e7-82f6-3863bb44ef7c,,3306,20,1,1,0,1,False
1,1709605423,0.0,17,1,66dc120f-0aca-11e7-82f6-3863bb44ef7c,0.0,435,54,1,0,3,1,False
1,1709605424,0.0,16,0,ca7ec509-cefc-4ac6-b729-08999d191051,0.0,4292,5,1,0,2,1,False
1,1709605421,0.0,76,12,549b5bc4-b949-4eeb-8ffb-2215e1e49892,0.0,4281,2,1,0,2,1,False
1,1709605422,0.0,34,0,66dd24ca-0aca-11e7-82f6-3863bb44ef7c,0.0,3123,12,1,0,1,1,False
1,1709605424,0.0,3,2,1846085439406916338,0.0,1846085439406916338,20,1,0,1,1,False
1,1709605424,0.0,20,0,1838071008881986168,0.0,1838071008881986168,8,1,0,2,1,False
1,1709605422,0.0,9,0,1862788202397235246,0.0,1862788202397235246,12,1,0,0,1,False
1,1709605422,0.0,23,20,a47f77a2-9008-4652-a4f1-b95eee723a1b,0.0,3712,15,1,0,1,1,False
1,1709605427,0.0,4,0,4568f854-1268-45cf-bac8-82286ef40ae6,0.0,4956,16,1,0,1,1,False
1,1709605427,0.0,6,2,bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,0.0,4156,11,1,0,2,1,False
1,1709605427,0.0,6,0,c4e9905f-457b-4be0-a878-2aa53fa0b09b,0.0,3779,17,1,0,1,1,False
1,1709605428,0.0,17,7,66dbf288-0aca-11e7-82f6-3863bb44ef7c,0.0,406,0,1,0,3,1,False
1,1709605428,0.0,8,0,44c23eaa-7ddf-40b3-8373-6f3880c5e1b1,0.0,4160,7,1,0,3,1,False
1,1709605429,0.0,19,3,1854538387432581604,0.0,1854538387432581604,3,1,0,0,1,False
1,1709605430,0.0,17,0,1bb1af93-b433-4da7-8054-009c85f7755a,0.0,4092,1,1,0,1,1,False
1,1709605429,0.0,11,2,f8c242cd-da59-4f0e-afd6-832bbdd7d328,0.0,4750,8,1,0,1,1,False
1,1709605429,0.0,3,2,c602146e-d69d-43b6-9e8f-054c4df5377e,0.0,4250,15,1,0,1,1,False
