num_bikes_available,num_docks_available,num_ebikes_available,station_id,num_bikes_disabled,last_reported,is_installed,num_docks_disabled,time,total_docks,per_num_docks_available,per_num_bikes_available,name,lat,lon,capacity_original,zipCode,capacity_zip_sum
1,19,1,1862759079900600428,1,1709648322,1,0,2024-03-05 14:18:42,21,90.47619047619048,4.761904761904762,University Ave & Morton Pl,40.85118155499655,-73.91465058978447,21,10453,633
1,22,1,1838070940162509196,0,1709648322,1,0,2024-03-05 14:18:42,24,91.66666666666666,4.166666666666666,34 Ave & 113 St,40.75696,-73.85612,23,11368,996
22,11,1,66de71af-0aca-11e7-82f6-3863bb44ef7c,5,1709648322,1,1,2024-03-05 14:18:42,34,32.35294117647059,64.70588235294117,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,39,11217,885
15,2,5,83a5d761-57d0-4cd6-aa2b-7eb350120d99,4,1709648322,1,0,2024-03-05 14:18:42,22,9.090909090909092,68.18181818181817,Home St & Westchester Ave,40.827629,-73.886659,21,10459,482
1,27,1,b506be9e-45d3-43d1-a262-27d8fa91e974,1,1709648322,1,1,2024-03-05 14:18:42,29,93.10344827586206,3.4482758620689653,31 St & Astoria Blvd,40.7699176,-73.9184057,31,11102,414
39,4,4,32cc1603-a4b5-4099-b7bf-681de451b04a,4,1709648322,1,0,2024-03-05 14:18:42,47,8.51063829787234,82.97872340425532,Walker St & Baxter St,40.717411,-73.999573,47,10013,1239
11,19,3,b976906e-81c4-44c5-a160-e17815c0d47b,1,1709648322,1,0,2024-03-05 14:18:42,33,57.57575757575758,33.33333333333333,E 115 St & Madison Ave,40.7989445,-73.944846,31,10029,639
9,9,2,f42b3158-3f78-4a62-964a-8cc554d69c35,0,1709648322,1,0,2024-03-05 14:18:42,20,45.0,45.0,Maple St & Albany Ave,40.66155,-73.93974,19,11203,742
37,13,8,66dbebad-0aca-11e7-82f6-3863bb44ef7c,1,1709648322,1,1,2024-03-05 14:18:42,58,22.413793103448278,63.793103448275865,Jay St & Tech Pl,40.695065,-73.987167,52,11201,2201
19,5,9,189f573b-a2d0-40d2-af15-83c5015d93e2,1,1709648323,1,0,2024-03-05 14:18:43,33,15.151515151515152,57.57575757575758,7 Ave & 41 St,40.647379,-74.000911,25,11232,613
14,3,4,1431ec5c-242d-401b-b672-dbf95155999b,2,1709648323,1,0,2024-03-05 14:18:43,21,14.285714285714285,66.66666666666666,Townsend Ave & E 175 St,40.84741,-73.911359,19,10453,633
9,8,6,989fdf95-cfb9-475c-ba0c-3152fd3a16e0,3,1709648323,1,0,2024-03-05 14:18:43,23,34.78260869565217,39.130434782608695,McDonald Ave & Vanderbilt St,40.651654,-73.981231,21,11218,736
18,0,3,1828966626550010820,2,1709648323,1,0,2024-03-05 14:18:43,21,0.0,85.71428571428571,77 St & 31 Ave,40.75886,-73.89081,20,11370,481
19,0,8,1861681740276243358,1,1709648323,1,0,2024-03-05 14:18:43,27,0.0,70.37037037037037,Irwin Ave & W 232 St,40.88227,-73.90809,20,10463,446
17,1,2,b62bcd96-c2db-447c-bdd5-d3c18f174858,0,1709648323,1,0,2024-03-05 14:18:43,20,5.0,85.0,Grand Ave & 55 St,40.71888,-73.91427,19,11378,497
6,18,5,c83e1ef5-776e-417e-8ee2-d08ca121f884,3,1709648324,1,0,2024-03-05 14:18:44,29,62.06896551724138,20.689655172413794,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,27,11238,906
14,8,1,bda1fab4-5065-42df-a8ff-514e6064ab6e,1,1709648324,1,0,2024-03-05 14:18:44,23,34.78260869565217,60.86956521739131,Maple St & New York Ave,40.66104,-73.94795,23,11225,718
6,14,0,1835246658344669972,0,1709648324,1,0,2024-03-05 14:18:44,20,70.0,30.0,96 St & Northern Blvd,40.75712,-73.8722,20,11369,564
