num_bikes_disabled;lat;lon;;;
7;40.801.694;-73.957.145;;;
1;4.068.012;-7.393.168;;;
2;40.800.425;-73.911.034;;;
2;406.803.560.840.434;-739.476.791.024.208;;;
1;4.084.784;-73.883;;;
1;40.666.287;-7.398.895.053;;;
1;407.411;-7.388.837;;;
0;4.082.057;-73.917.579;;;
3;4.072.179.134;-739.504.154;;;
3;40.828.975;-73.911.259;;;
1;40.824.686;-73.951.947;;;
6;4.075.594.159;-740.021.163;;;
0;40.830.262;-73.923.391;;;
1;40.646.475;-74.026.081;;;
0;4.085.715.781.391.900;-7.392.717.361.450.190;;;
1;4.082.441;-7.392.818;;;
3;4.078.294;-7.393.077;;;
1;4.083.402.740.143.520;-7.394.510.813.442.640;;;
2;4.069.338;-7.390.061;;;
1;4.071.335.226.222.870;-739.491.033.554.077;;;
3;4.073.291.553;-7.400.711.384;;;
2;4.088.066;-7.390.076;;;
0;4.073.941.387.498.410;-7.392.131.969.332.690;;;
0;4.074.113;-73.942.518;;;
3;40.832.678;-73.905.158;;;
2;40.842.941;-73.938.631;;;
1;40.789.622;-7.397.757;;;
3;4.078.414.472;-7.398.362.492;;;
6;408.561;-7.388.625;;;
1;4.068.565;-7.391.564;;;
0;40.839.549;-73.913.004;;;
0;40.638.246;-74.024.714;;;
0;40.829.114;-73.950.426;;;
3;406.812.117;-7.400.860.912;;;
1;40.640.831;-74.010.996;;;
1;40.784.003;-73.912.297;;;
1;408.014.866;-739.442.507;;;
3;4.077.492.513;-7.398.266.566;;;
2;4.075.118.387.463.270;-7.397.138.714.790.340;;;
2;406.686.744;-739.618.148;;;
4;4.077.632.142.182.270;-7.396.427.392.959.590;;;
2;40.831.444;-73.926.226;;;
3;4.074.692.675.687.380;-739.208.248.257.637;;;
1;40.713.532;-739.459.867;;;
6;40.677.027;-739.865;;;
4;407.877.214;-7.394.728.331;;;
0;4.064.915;-7.394.368;;;
0;4.087.207;-7.388.459;;;
1;40.735.217;-73.954.926;;;
2;407.153.379;-7.401.658.354;;;
2;406.809.741;-739.710.097;;;
2;40.705.774;-73.963.252;;;
6;40.728.846;-74.008.591;;;
2;40.699.871.408.829.800;-7.391.171.872.615.810;;;
2;4.064.483;-7.393.853;;;
1;40.662.611;-73.998.623;;;
3;40.805.089;-73.918.889;;;
2;4.067.945;-7.390.474;;;
0;40.815.077;-73.899.939;;;
2;4.075.727;-7.389.024;;;
5;406.802.133;-7.398.432.695;;;
0;4.069.580.705;-7.397.355.569;;;
2;407.381.765;-7.397.738.662;;;
0;4.069.329;-7.392.852;;;
0;4.066.178;-7.393.445;;;
1;4.067.015;-7.392.538;;;
2;40.752.049;-73.979.635;;;
0;4.066.639;-7.395.346;;;
3;407.580.583;-739.242.751;;;
3;40.652.563;-73.972.573;;;
1;4.085.118.155.499.650;-7.391.465.058.978.440;;;
0;4.075.696;-7.385.612;;;
5;4.068.506.807.308.170;-7.397.790.759.801.860;;;
4;40.827.629;-73.886.659;;;
1;407.699.176;-739.184.057;;;
4;40.717.411;-73.999.573;;;
1;407.989.445;-73.944.846;;;
0;4.066.155;-7.393.974;;;
1;40.695.065;-73.987.167;;;
1;40.647.379;-74.000.911;;;
2;4.084.741;-73.911.359;;;
3;40.651.654;-73.981.231;;;
2;4.075.886;-7.389.081;;;
1;4.088.227;-7.390.809;;;
0;4.071.888;-7.391.427;;;
3;406.740.123;-739.671.457;;;
1;4.066.104;-7.394.795;;;
0;4.075.712;-738.722;;;
0;4.070.834.698;-7.401.713.445;;;
1;4.068.713;-7.393.008;;;
2;407.806.284;-739.521.667;;;
7;4.084.207;-73.926.075;;;
1;4.065.292.829.363.810;-7.401.286.482.810.970;;;
6;4.073.937.600.789.770;-7.400.520.807.425.660;;;
4;407.859.201;-7.394.860.294;;;
1;4.082.394;-73.894.025;;;
1;40.871.094;-73.911.503;;;
3;4.068.940.747;-7.396.885.458;;;
0;4.070.924.826.276.150;-7.396.063.148.975.370;;;
0;4.069.559;-7.389.927;;;
0;40.812.299;-7.392.037;;;
0;407.683;-7.387.331;;;
2;4.070.277.159;-7.399.383.605;;;
1;407.488;-7.389.451;;;
2;40.741.459;-73.983.293;;;
6;40.651.847;-73.965.248;;;
2;4.076.817;-73.896.293;;;
0;407.031.724;-73.940.636;;;
3;4.071.442;-7.390.097;;;
2;406.828.003;-7.399.990.419;;;
2;4.068.382.604;-7.397.632.328;;;
4;406.851.443;-7.395.380.904;;;
0;4.067.308;-7.394.191;;;
2;40.808.633;-73.916.124;;;
1;4.081.989;-73.908.351;;;
1;40.839.137;-73.941.409;;;
1;40.816.567;-73.888.161;;;
3;4.077.862.688;-7.395.772.073;;;
2;40.750.181;-73.919.998;;;
0;4.074.888;-7.387.368;;;
0;408.013.066;-739.398.167;;;
0;4.075.473;-7.389.458;;;
1;40.820.713;-73.911.759;;;
1;40.764.174.520.197.600;-7.391.583.994.030.950;;;
2;4.085.591;-7.390.051;;;
0;40.778.557;-73.919.046;;;
1;4.086.169.883.507.860;-7.391.855.701.804.160;;;
3;40.838.379;-73.905.838;;;
2;4.073.047.747;-7.399.906.065;;;
1;4.070.076;-7.393.641;;;
0;4.074.773;-7.386.649;;;
4;40.702.461;-73.986.842;;;
2;4.068.814;-7.392.693;;;
3;4.073.498;-7.400.697;;;
1;4.070.809;-7.389.549;;;
1;4.068.282;-7.393.488;;;
0;407.532;-73.853;;;
0;4.067.242;-7.393.094;;;
1;40.859.532;-73.913.303;;;
0;4.068.929;-7.390.951;;;
0;4.068.652;-7.391.321;;;
1;4.082.388.366.441.760;-738.974.027.708.582;;;
5;4.073.127;-7.398.849;;;
0;4.087.807;-7.390.796;;;
3;4.084.749;-7.389.464;;;
2;407.429;-7.391.395;;;
0;40.867.505;-73.926.363;;;
0;4.065.629;-73.977.335;;;
3;4.085.025;-7.389.301;;;
1;40.866.899;-73.901.942;;;
0;4.070.907;-7.392.157;;;
1;40.65;-7.393.296;;;
2;4.064.491;-7.395.487;;;
5;4.072.456.089;-7.399.565.293;;;
