num_bikes_available;num_ebikes_available;station_id;legacy_id;num_docks_available;is_installed;num_docks_disabled;num_bikes_disabled;name;has_kiosk;lat;lon;capacity_original;zipCode;capacity_zip_sum;
2;1;4f814d78-5d8d-458b-877e-2ca449b865be;4014;20;1;0;0;Riverside Dr & W 148 St;True;40.829.114;-73.950.426;22;10031;411;
15;3;c3189056-8eda-4278-891f-e8e15c2d759a;3537;8;1;0;4;Carlton Ave & Dean St;True;406.809.741;-739.710.097;29;11238;906;
7;3;1d32e684-602b-46b6-8c96-ab47b57a03f3;3549;14;1;0;3;Grand Ave & Bergen St;True;40.678.045;-73.962.408;25;11238;906;
9;3;41495491-5d89-4e14-aab9-c3db04aad399;4774;7;1;0;3;43 St & Skillman Ave;True;4.074.692.675.687.380;-739.208.248.257.637;19;11101;1806;
20;4;1,79485E+18;1,79485E+18;1;1;0;0;63 St & Borden Ave;True;4.072.655;-7.390.321;21;11378;497;
7;7;64f0f28c-bedc-42d5-b107-ecdd48fc30cd;4642;88;1;0;8;Broadway & W 48 St;True;4.076.017.739.537.780;-7.398.486.793.041.220;103;10019;1746;
5;0;b713367c-3572-4225-b74a-9319ab537838;4631;13;1;0;1;Sedgwick Ave & Hall of Fame Terrace;True;40.859.532;-73.913.303;19;10453;633;
15;4;c80c55c4-d623-42d7-8acf-6bfa68a84ecb;4151;3;1;0;3;3 Ave & E 169 St;True;40.832.678;-73.905.158;21;10456;607;
17;2;99614ecb-2329-49fa-a13a-fa1ef2bb32d6;4201;1;1;0;1;Clay Ave & Claremont Pkwy;True;4.083.999;-7.390.549;21;10457;836;
22;3;6e5a8cab-cf1a-4584-8133-01835b56ad71;4166;3;1;0;2;River Ave & E 153 St;True;4.082.441;-7.392.818;27;10451;645;
15;6;1,90327E+18;1,90327E+18;24;1;0;3;E 3 St & Ave A;True;40.723.537;-73.985.112;42;10009;1560;
8;2;66dcc8b3-0aca-11e7-82f6-3863bb44ef7c;3060;9;1;0;2;Willoughby Ave & Tompkins Ave;True;4.069.425.403;-7.394.626.915;19;11206;831;
18;1;1,8717E+18;1,8717E+18;4;1;0;1;Taylor St & Bedford Ave;True;40.705.774;-73.963.252;23;11249;722;
2;0;38af3d1a-9916-46cf-b22e-86fc8648bf30;4094;16;1;0;3;Park Ave & E 162 St;True;40.825.716;-73.915.585;21;10451;645;
13;0;1,81782E+18;1,81782E+18;11;1;0;3;23 Ave & 31 St;True;4.077.423.301.703.020;-7.391.274.864.321.400;27;11105;731;
11;2;66de0a78-0aca-11e7-82f6-3863bb44ef7c;3330;5;1;0;2;Henry St & Bay St;True;406.725.058;-7.400.494.695;19;11231;986;
12;3;1,86019E+18;1,86019E+18;3;1;0;6;E 188 St & Hughes Ave;True;408.561;-7.388.625;21;10458;772;
3;2;d73e26de-8534-4b46-a321-3cae295ef9b2;4059;21;1;0;6;W 171 St & St Nicholas Ave;True;40.842.941;-73.938.631;31;10032;512;
