is_returning,last_reported,num_scooters_unavailable,num_bikes_available,num_ebikes_available,station_id,num_scooters_available,legacy_id,num_docks_available,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,eightd_has_available_keys,eightd_station_services,name,has_kiosk,station_type,region_id,lat,electric_bike_surcharge_waiver,lon,rental_methods,rental_uris,capacity_original,eightd_has_key_dispenser,zipCode,capacity_zip_sum
1,1709605449,0.0,2,2,24509e46-a0de-47e8-ba40-9441da68952a,0.0,4440,17,1,0,0,1,False,[],Fort Washington Ave & W 190 St,True,classic,71.0,40.856906,False,-73.935662,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,10040,338
1,1709605449,0.0,2,1,6fab98b7-b06a-49d8-a4d1-087ffce0ebcf,0.0,4157,10,1,0,7,1,False,[],Boston Rd & Prospect Ave,True,classic,71.0,40.833246,False,-73.896599,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,10459,482
1,1709605449,0.0,10,0,81bec993-29a5-4e70-8f60-eecdf16c7be4,0.0,4684,17,1,0,0,1,False,[],Railroad Ave & Kay Ave,True,classic,71.0,40.70514807698391,False,-73.97078096866608,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",30,False,11249,722
1,1709605450,0.0,11,10,655ad2f2-6bcc-4eee-95a9-4f528c0b81cd,0.0,4112,4,1,0,3,1,False,[],Wards Meadow Comfort Station,True,classic,71.0,40.78294,False,-73.93077,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",18,False,10035,556
1,1709605450,0.0,15,5,1862008939006380034,0.0,1862008939006380034,4,1,0,2,1,False,[],E 189 St & Bathgate Ave,True,classic,,40.85859,False,-73.88821,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,10458,772
1,1709605450,0.0,9,4,66de1ea2-0aca-11e7-82f6-3863bb44ef7c,0.0,3361,9,1,1,0,1,False,[],Carroll St & 6 Ave,True,classic,71.0,40.6740886,False,-73.9787282,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,11215,1088
1,1709605450,0.0,11,4,8a89684b-40a5-49fe-b75d-fdf32ffa8102,0.0,4141,8,1,0,1,1,False,[],Southern Blvd & Tiffany St,True,classic,71.0,40.818185,False,-73.894143,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,10459,482
1,1709605448,0.0,15,10,66dd4d70-0aca-11e7-82f6-3863bb44ef7c,0.0,3166,19,1,0,6,1,False,[],Riverside Dr & W 72 St,True,classic,71.0,40.78057799010334,False,-73.98562431335449,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",41,False,10023,683
1,1709605448,0.0,0,0,cf1a96a7-f695-4ba2-bcf2-899552e21e47,0.0,5005,17,1,0,2,1,False,[],Herkimer St & Eastern Pkwy,True,classic,71.0,40.67738,False,-73.90829,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,11233,877
1,1709605448,0.0,2,1,bcb08532-f0d5-4c0e-ad8a-4ddacc204791,0.0,3833,16,1,0,0,1,False,[],Madison St & Evergreen Ave,True,classic,71.0,40.69122,False,-73.91693,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",18,False,11221,906
1,1709605449,0.0,26,0,6969d756-33a6-4a0b-83d0-3db38bc382d1,0.0,4412,2,1,0,1,1,False,[],53 St & 2 Ave,True,classic,71.0,40.64744,False,-74.018846,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",30,False,11220,832
1,1709605449,0.0,7,5,481624f3-9377-4dfd-a5dd-de05a7fef760,0.0,4103,10,1,0,2,1,False,[],Ogden Ave & W 165 St,True,classic,71.0,40.834457,False,-73.928381,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,10452,570
1,1709605450,0.0,31,0,1814548067447122618,0.0,1814548067447122618,1,1,1,2,1,False,[],Calyer St & West St,True,classic,,40.72693,False,-73.95863,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",35,False,11222,1314
1,1709605451,0.0,1,0,66dd9fa6-0aca-11e7-82f6-3863bb44ef7c,0.0,3233,53,1,0,7,1,False,[],E 48 St & 5 Ave,True,classic,71.0,40.75724567911726,False,-73.97805914282799,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",62,False,10017,807
