eightd_station_services,name,station_id,has_kiosk,station_type,region_id,lat,electric_bike_surcharge_waiver,lon,rental_methods,rental_uris,capacity,eightd_has_key_dispenser,zipCode
[],President St & Nostrand Ave,8aad788d-c7eb-4fca-a426-c39f47741a6f,True,classic,,40.66811,False,-73.9505,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",28,False,11225
[],E Tremont Ave & E 176 St,62f8f806-bd04-4282-9c5d-ad4293644e3c,True,classic,71,40.847798,False,-73.901883,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,10457
[],37 Ave & 35 St,12279d2b-29f6-4e02-a7f0-244970f7edd5,True,classic,71,40.7531106,False,-73.9279917,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",26,False,11101
[],14 St & 7 Ave,66ddec3e-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.663779,False,-73.98396846,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",24,False,11215
[],Fulton St & Clermont Ave,66dbee85-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.68415748,False,-73.96922273,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",75,False,11238
[],Willoughby Ave & Myrtle Ave,493e046c-5d62-4772-90c4-b6a9f4afcd39,True,classic,71,40.69757,False,-73.93098,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,11221
[],Central Ave & Starr St,d11b9869-8964-4b79-aafc-4b60ad1b44c4,True,classic,71,40.700003,False,-73.92834,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,11237
[],Broadway & W 41 St,66dc292c-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.75513557,False,-73.98658032,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",55,False,10036
[],Clinton Ave & Myrtle Ave,66dbcd6c-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.693261,False,-73.968896,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",33,False,11205
[],Bergen St & Saratoga Ave,af72ab76-c6cb-4994-af96-51fa8846ecdc,True,classic,71,40.67423,False,-73.91656,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,11233
[],56 Ave & 92 St,1846086362824884662,True,classic,,40.73649,False,-73.86995,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",25,False,11373
[],E 85 St & York Ave,66dd46a2-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.77536905,False,-73.94803392,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",47,False,10028
[],Division St & Bowery,e625e677-d175-4902-9764-d92716d86fd5,True,classic,71,40.714193,False,-73.996732,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",49,False,10002
[],E 45 St & 3 Ave,66dc17df-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.75255434,False,-73.97282625,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",46,False,10017
[],Bushwick Ave & Stagg St,e35c42c6-8b73-4528-b08d-c94b75624b40,True,classic,71,40.709897,False,-73.94008,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,11206
[],MacDougal St & Washington Sq,66db41bf-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.73226398,False,-73.99852205,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",33,False,10011
[],E 128 St & Madison Ave,c63a83a0-bda1-40a6-835b-f82c363543b9,True,classic,71,40.80756,False,-73.939182,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,10035
[],Morris Ave & E 171 St,b4b5824b-3c23-44b7-92a3-cec6a54583a0,True,classic,71,40.83899,False,-73.9109,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,10457
[],E 95 St & 3 Ave,66de0861-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.7849032,False,-73.950503,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",31,False,10128
[],Clinton Ave & Flushing Ave,66dba303-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.69794,False,-73.96986848,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,11205
[],E 34 St & Linden Blvd,1820420022433309054,True,classic,,40.65302,False,-73.94599,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",24,False,11203
[],E 12 St & 3 Ave,66dc481a-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.73223272,False,-73.98889957,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",70,False,10003
[],Goulden Ave & W 197 St,5eac53d0-5510-441a-9dbb-76bd38acf4ef,True,classic,71,40.87156,False,-73.89714,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,10468
[],11 Ave & W 59 St,66dc864c-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.77149671054441,False,-73.99046033620834,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",24,False,10019
[],Berkeley Pl & 6 Ave,66de110b-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.6765304,False,-73.97846879,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",41,False,11217
[],1 Ave & E 6 St,c37931bb-8571-4671-a9a8-f3cf23897680,True,classic,71,40.72633085971696,False,-73.98616880178452,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",94,False,10009
[],Intervale Ave & Kelly St,5d994b32-b7a5-450d-9bbb-93bf3b03e6d5,True,classic,71,40.827301,False,-73.896372,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,10459
[],60 St & 60 Rd,956de8aa-9e06-4efb-8eb0-35fe9b274a48,True,classic,71,40.71592232709503,False,-73.90601366758347,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,11378
[],Prospect Park W & 20 St,e4980fd0-e540-40ca-acba-c2a74f3294fc,True,classic,71,40.656633,False,-73.983864,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",25,False,11215
[],Queens Blvd & 56 St,0cde9bcd-0dcb-45dc-9c9a-3e5485b5452e,True,classic,71,40.74193,False,-73.90913,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,11377
[],Allen St & Hester St,66dbca9c-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.71605866,False,-73.99190759,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",117,False,10002
